Adenauerplatz,U7,,U7
Afrikanische Straße,U6,,U6
Alexanderplatz,U2,,U2
Alexanderplatz,U5,,U5
Alexanderplatz,U8,,U8
Alt-Mariendorf,U6,,U6
Alt-Tegel,U6,,U6
Alt-Tempelhof,U6,,U6
Altstadt Spandau,U7,,U7
Amrumer Straße,U9,,U9
Augsburger Straße,U3,,U3
Bayerischer Platz,U4,,U4
Bayerischer Platz,U7,,U7
Berliner Straße,U7,,U7
Berliner Straße,U9,,U9
Bernauer Straße,U8,,U8
Biesdorf-Süd,U5,,U5
Birkenstraße,U9,,U9
Bismarckstraße,U2,,U2
Bismarckstraße,U7,,U7
Blaschkoallee,U7,,U7
Blissestraße,U7,,U7
Boddinstraße,U8,,U8
Borsigwerke,U6,,U6
Breitenbachplatz,U3,,U3
Brandenburger Tor,U55,,U55
Britz-Süd,U7,,U7
Bülowstraße,U2,,U2
Bundestag,U55,,U55
Bundesplatz,U9,,U9
Cottbusser Platz,U5,,U5
Dahlem-Dorf,U3,,U3
Deutsche Oper,U2,,U2
Eberswalder Straße,U2,,U2
Eisenacher Straße,U7,,U7
Elsterwerdaer Platz,U5,,U5
Ernst-Reuter-Platz,U2,,U2
Fehrbelliner Platz,U3,,U3
Fehrbelliner Platz,U7,,U7
Frankfurter Allee,U5,,U5
Frankfurter Tor,U5,,U5
Franz-Neumann-Platz,U8,,U8
Französische Straße,U6,,U6
Friedrichsfelde,U5,,U5
Friedrichstraße,U6,,U6
Friedrich-Wilhelm-Platz,U9,,U9
Gesundbrunnen,U8,,U8
Gleisdreieck,U1,,U1
Gleisdreieck,U2,,U2
Gneisenaustraße,U7,,U7
Görlitzer Bahnhof,U1,,U1
Grenzallee,U7,,U7
Güntzelstraße,U9,,U9
Halemweg,U7,,U7
Hallesches Tor,U1,,U1
Hallesches Tor,U6,,U6
Hansaplatz,U9,,U9
Haselhorst,U7,,U7
Hauptbahnhof,U55,,U55
Hausvogteiplatz,U2,,U2
Heidelberger Platz,U3,,U3
Heinrich-Heine-Straße,U8,,U8
Hellersdorf,U5,,U5
Hermannplatz,U7,,U7
Hermannplatz,U8,,U8
Hermannstraße,U8,,U8
Hönow,U5,,U5
Hohenzollernplatz,U3,,U3
Holzhauser Straße,U6,,U6
Innsbrucker Platz,U4,,U4
Jakob-Kaiser-Platz,U7,,U7
Jannowitzbrücke,U8,,U8
Johannisthaler Chaussee,U7,,U7
Jungfernheide,U7,,U7
Kaiserdamm,U2,,U2
Kaiserin-Augusta-Straße,U6,,U6
Karl-Bonhoeffer-Nervenklinik,U8,,U8
Karl-Marx-Straße,U7,,U7
Kaulsdorf-Nord,U5,,U5
Kleistpark,U7,,U7
Klosterstraße,U2,,U2
Kochstraße,U6,,U6
Konstanzer Straße,U7,,U7
Kottbusser Tor,U1,,U1
Kottbusser Tor,U8,,U8
Krumme Lanke,U3,,U3
Kurfürstendamm,U1,,U1
Kurfürstendamm,U9,,U9
Kurfürstenstraße,U1,,U1
Kurt-Schumacher-Platz,U6,,U6
Leinestraße,U8,,U8
Leopoldplatz,U6,,U6
Leopoldplatz,U9,,U9
Lichtenberg,U5,,U5
Lindauer Allee,U8,,U8
Lipschitzallee,U7,,U7
Louis-Lewin-Straße,U5,,U5
Magdalenenstraße,U5,,U5
Märkisches Museum,U2,,U2
Mehringdamm,U6,,U6
Mehringdamm,U7,,U7
Mendelssohn-Bartholdy-Park,U2,,U2
Mierendorffplatz,U7,,U7
Möckernbrücke,U1,,U1
Möckernbrücke,U7,,U7
Mohrenstraße,U2,,U2
Moritzplatz,U8,,U8
Naturkundemuseum,U6,,U6
Nauener Platz,U9,,U9
Neu-Westend,U2,,U2
Neue Grottkauer Straße,U5,,U5
Neukölln,U7,,U7
Nollendorfplatz,U2,,U2
Nollendorfplatz,U1,,U1
Nollendorfplatz,U3,,U3
Nollendorfplatz,U4,,U4
Olympia-Stadion,U2,,U2
Onkel Toms Hütte,U3,,U3
Oranienburger Tor,U6,,U6
Oskar-Helene-Heim,U3,,U3
Osloer Straße,U8,,U8
Osloer Straße,U9,,U9
Otisstraße,U6,,U6
Pankow,U2,,U2
Pankstraße,U8,,U8
Paracelsus-Bad,U8,,U8
Paradestraße,U6,,U6
Parchimer Allee,U7,,U7
Paulsternstraße,U7,,U7
Platz der Luftbrücke,U6,,U6
Podbielskiallee,U3,,U3
Potsdamer Platz,U2,,U2
Prinzenstraße,U1,,U1
Rathaus Neukölln,U7,,U7
Rathaus Reinickendorf,U8,,U8
Rathaus Schöneberg,U4,,U4
Rathaus Spandau,U7,,U7
Rathaus Steglitz,U9,,U9
Rehberge,U6,,U6
Reinickendorfer Straße,U6,,U6
Residenzstraße,U8,,U8
Richard-Wagner-Platz,U7,,U7
Rohrdamm,U7,,U7
Rosa-Luxemburg-Platz,U2,,U2
Rosenthaler Platz,U8,,U8
Rüdesheimer Platz,U3,,U3
Rudow,U7,,U7
Ruhleben,U2,,U2
Samariterstraße,U5,,U5
Scharnweberstraße,U6,,U6
Schillingstraße,U5,,U5
Schlesisches Tor,U1,,U1
Schloßstraße,U9,,U9
Schönhauser Allee,U2,,U2
Schönleinstraße,U8,,U8
Schwartzkopffstraße,U6,,U6
Seestraße,U6,,U6
Senefelderplatz,U2,,U2
Siemensdamm,U7,,U7
Sophie-Charlotte-Platz,U2,,U2
Spichernstraße,U3,,U3
Spichernstraße,U9,,U9
Spittelmarkt,U2,,U2
Stadtmitte,U2,,U2
Stadtmitte,U6,,U6
Strausberger Platz,U5,,U5
Südstern,U7,,U7
Tempelhof,U6,,U6
Theodor-Heuss-Platz,U2,,U2
Thielplatz,U3,,U3
Tierpark,U5,,U5
Turmstraße,U9,,U9
Uhlandstraße,U1,,U1
Ullsteinstraße,U6,,U6
Viktoria-Luise-Platz,U4,,U4
Vinetastraße,U2,,U2
Voltastraße,U8,,U8
Walther-Schreiber-Platz,U9,,U9
Warschauer Straße,U1,,U1
Weberwiese,U5,,U5
Wedding,U6,,U6
Weinmeisterstraße,U8,,U8
Westhafen,U9,,U9
Westphalweg,U6,,U6
Wilmersdorfer Straße,U7,,U7
Wittenau,U8,,U8
Wittenbergplatz,U1,,U1
Wittenbergplatz,U2,,U2
Wittenbergplatz,U3,,U3
Wuhletal,U5,,U5
Wutzkyallee,U7,,U7
Yorckstraße,U7,,U7
Zitadelle,U7,,U7
Zoologischer Garten,U2,,U2
Zoologischer Garten,U9,,U9
Zwickauer Damm,U7,,U7